Username;DateTime;Retweets;Text;Hashtag;ID;Permanentlink;Concept;Latitud;Longitud;Radius
GermanSuarezVal;2018-03-31 17:52;0;@petrogustavo Formemos el Pais que queremos, Desarrollado, sin Corrupcion, sin mentiras. Todo un Paraiso que venga gente de todo el mundo;;980201086270230529;https://twitter.com/GermanSuarezVal/status/980201086270230529;4.62433;-74.063644;40km
pattyRobayoSu;2018-03-30 23:35;1;mente brillante,propuestas sensatas,el mejor modelo de gobierno,el unico Gustavo Petro presidente;;979925014605697024;https://twitter.com/pattyRobayoSu/status/979925014605697024;4.62433;-74.063644;40km
GermanSuarezVal;2018-03-30 14:44;0;@petrogustavo Recursos p Estado Social d Derecho no para Financiar Guerras interminables contra el Narcotrafico. crear FEDERACION COCALEROS;;979791617690427392;https://twitter.com/GermanSuarezVal/status/979791617690427392;4.62433;-74.063644;40km
GermanSuarezVal;2018-03-30 14:37;0;@petrogustavo Recursos publicos no deben usarse para guerra contra Narcotraficantes. Basta con Legalizar la Cocaina, derivados y exportar;;979789609688289280;https://twitter.com/GermanSuarezVal/status/979789609688289280;4.62433;-74.063644;40km
NesberoR;2018-03-30 12:58;0;" @lafm :Gustavo Petro sostiene que Maduro es un dictador que mata https:// bit.ly/2EaS4nS #LAFM pic.twitter.com/CoWBljXE7A " dificil creerle!;#LAFM;979764865064751104;https://twitter.com/NesberoR/status/979764865064751104;4.62433;-74.063644;40km
NesberoR;2018-03-30 12:54;0;" @lafm : Petro : Hugo Chavez no fue un dictador https:// bit.ly/2EaS4nS #LAFM " pero como? si era el idolo del man!;#LAFM;979763901373059072;https://twitter.com/NesberoR/status/979763901373059072;4.62433;-74.063644;40km
NesberoR;2018-03-30 12:36;0;pobre guev..........., lo mismo de siempre.;;979759318038917121;https://twitter.com/NesberoR/status/979759318038917121;4.62433;-74.063644;40km
willi77am;2018-03-28 22:45;0;@petrogustavo amigo: en sus presentaciones por favor dediques a mostrar su plan de gobierno aplicado a la.region donde esta;;979187787835506688;https://twitter.com/willi77am/status/979187787835506688;4.62433;-74.063644;40km
finseya5;2018-03-28 20:00;1;@petrogustavo Petro en San Onofre, rinde homenaje a las victimas de la guerra y contagia de esperanza suenos de paz pic.twitter.com/5rXpnnvc9X;;979146168927182849;https://twitter.com/finseya5/status/979146168927182849;4.62433;-74.063644;40km
finseya5;2018-03-27 22:36;2;La verdadera lucha contra la corrupcion pasa por ciudadanias que levanten su voz. Petro en Sahagun,tierra del nono. pic.twitter.com/6RfWCsYXxn;;978823182445670401;https://twitter.com/finseya5/status/978823182445670401;4.62433;-74.063644;40km
NesberoR;2018-03-27 22:06;0;, claro que lo hizo bien, partio a los verdes con la doctorisima Robledo.;;978815569960013824;https://twitter.com/NesberoR/status/978815569960013824;4.62433;-74.063644;40km
gioul9804;2018-03-27 19:59;0;@petrogustavo le dio a #Bogota el premio al liderazgo ambiental,hoy penalosa nos tiene en #AlertaAmarilla , los mismos,los mismos resultados;#Bogot #AlertaAmarilla;978783665965748225;https://twitter.com/gioul9804/status/978783665965748225;4.62433;-74.063644;40km
gioul9804;2018-03-27 19:54;0;Sabia ud que @petrogustavo le dio a la ciudad el premio al mejor liderazgo ambiental? Hoy penalosa nos tiene en alerta amarilla,;;978782354750820352;https://twitter.com/gioul9804/status/978782354750820352;4.62433;-74.063644;40km
finseya5;2018-03-27 18:51;0;@petrogustavo no solo es vender, sino generar empleo, soberania alimentaria y proteger la naturaleza. NO AL FRACKING pic.twitter.com/nDrq2OweEB;;978766612768620545;https://twitter.com/finseya5/status/978766612768620545;4.62433;-74.063644;40km
josehincapie922;2018-03-26 22:45;0;@petrogustavo buena esa!!!!;;978462914217734144;https://twitter.com/josehincapie922/status/978462914217734144;4.62433;-74.063644;40km
Williamvarg2016;2018-03-25 10:34;0;Petro presidente pic.twitter.com/VOpdLxFIzi;;977916684840431616;https://twitter.com/Williamvarg2016/status/977916684840431616;4.62433;-74.063644;40km
Williamvarg2016;2018-03-25 10:31;0;Nosotros estamos con nuestro presidente petro pic.twitter.com/HI97xCOS4B;;977915928770990081;https://twitter.com/Williamvarg2016/status/977915928770990081;4.62433;-74.063644;40km
canon_manuel;2018-03-25 02:14;0;@petrogustavo Colombia humana debe liderar un movimiento de las juventudes para luchar contra los danos ambientales causados por ecopetrol.;;977790844496379904;https://twitter.com/canon_manuel/status/977790844496379904;4.62433;-74.063644;40km
mrgcolombia;2018-03-24 12:11;0;" @ActualidadRT : FOTO: Afirman haber captado al fantasma de Pablo Escobar en la casa donde vivia @jsanchezcristo yava Petro a saludar a pablo;;977578753533542400;https://twitter.com/mrgcolombia/status/977578753533542400;4.62433;-74.063644;40km
juancelene;2018-03-19 21:58;0;El petro debe ser vigilado cada segundo y las personas que lo manejan estan manejando el futuro de venezuela asesorence de max;;975914457095397384;https://twitter.com/juancelene/status/975914457095397384;4.62433;-74.063644;40km
NesberoR;2018-03-19 20:00;0;que tal este cretino, respete a la familia por lo menos, ellos tienen mas derecho que usted!;;975884712106438657;https://twitter.com/NesberoR/status/975884712106438657;4.62433;-74.063644;40km
angel_21k;2018-03-19 00:44;0;@petrogustavo por lo que mas quieras lucha esa presidencia hasta el final...... Eres nuestra esperanza!!!! Ojala algun dia te pueda conocer!!!! #petrista pic.twitter.com/EKTs3glQoU;#petrista;975593775757131776;https://twitter.com/angel_21k/status/975593775757131776;4.62433;-74.063644;40km
canon_manuel;2018-03-18 21:57;0;@juanmanuelgalan Sr Galan no se ofenda por el buen uso de Petro a la memoria de su padre y haga buen uso de los dineros de su fundacion.;;975551862400221184;https://twitter.com/canon_manuel/status/975551862400221184;4.62433;-74.063644;40km
NesberoR;2018-03-18 21:41;0;yo quiero un pais que no este en las manos da Petro .;;975547695522869248;https://twitter.com/NesberoR/status/975547695522869248;4.62433;-74.063644;40km
NesberoR;2018-03-18 21:39;0;jajajajaja, mucho igualao, ese si era un senor no un fantoche como usted. Decentes???;;975547167728455681;https://twitter.com/NesberoR/status/975547167728455681;4.62433;-74.063644;40km
kaxaandra;2018-03-18 00:40;0;https:// youtu.be/GttBRNdt4q0 @petrogustavo;;975230536284360704;https://twitter.com/kaxaandra/status/975230536284360704;4.62433;-74.063644;40km
NesberoR;2018-03-16 21:39;0;, ningun error, es asi, lo que pasa es que Fajardo si es todo un senor.;;974822464348999680;https://twitter.com/NesberoR/status/974822464348999680;4.62433;-74.063644;40km
jalejandroe;2018-03-16 17:05;0;Viva petro , asi son todas sus propuestas en Bogota, Colombia https://www. instagram.com/p/BgZgashnJUJ/;;974753474540900354;https://twitter.com/jalejandroe/status/974753474540900354;4.62433;-74.063644;40km
andresecepeda;2018-03-16 13:38;0;No habra en Colombia rasero mas eficiente contra la corrupcion que las manos juntas de @ClaudiaLopez , @JERobledo Y @petrogustavo;;974701535727968257;https://twitter.com/andresecepeda/status/974701535727968257;4.62433;-74.063644;40km
NesberoR;2018-03-16 12:57;0;. Insisto, los partidarios de Petro lo unico que saben es agredir a quien no este de acuerdo con ellos.;;974691115172532225;https://twitter.com/NesberoR/status/974691115172532225;4.62433;-74.063644;40km
finseya5;2018-03-16 11:40;0;@petrogustavo @agaviriau Hospitales de San Andres y Providencia en crisis total. Cuantos anos mas de evidencia para cambiar de modelo?;;974671700708208640;https://twitter.com/finseya5/status/974671700708208640;4.62433;-74.063644;40km
andresecepeda;2018-03-15 22:53;0;Hagamos caso de lo que @petrogustavo ha dicho. La construccion de redes y difusion del saber para el pueblo, elecciones x @ColombiaHumana_;;974478720454086657;https://twitter.com/andresecepeda/status/974478720454086657;4.62433;-74.063644;40km
mesaldarriaga;2018-03-15 21:20;2;Que tal el espectaculo de cuadro que le pintaron a Gustavo Petro ,... https://www. instagram.com/p/BgXY3Rsh_GO5 yUmqgfZnvFaiUTCtUzqYS_5Ns40/ ...;;974455392599183360;https://twitter.com/mesaldarriaga/status/974455392599183360;4.62433;-74.063644;40km
GuzmanBogota;2018-03-15 19:14;7;!Unamonos para que se unan @DeLaCalleHum @sergio_fajardo @petrogustavo ! Si los jovenes nos movemos Colombia se transforma. @PartidoLiberal @FerchoMerchanR @QuinteroCalle @Parcejul @camilogvillegas @LiberalismoCrea @DanielSamperO @DCoronell #NuevoTiempo pic.twitter.com/YPvAf12ksL;#NuevoTiempo;974423629227282433;https://twitter.com/GuzmanBogota/status/974423629227282433;4.62433;-74.063644;40km
NesberoR;2018-03-15 01:52;0;no tengo ninguna afinidad politica, pero lo que tengo claro es que Petro no es!;;974161347024965633;https://twitter.com/NesberoR/status/974161347024965633;4.62433;-74.063644;40km
NesberoR;2018-03-14 22:15;1;quienes siguen a Petro son muy fastidiosos, el manejo de un pais no es improvisando.;;974106752777183233;https://twitter.com/NesberoR/status/974106752777183233;4.62433;-74.063644;40km
TrendsCO;2018-03-14 15:53;1;Santiago Petro ., @santuitazo es ahora una tendencia en Colombia https://www. trendsmap.com/r/CO_pfyvqg pic.twitter.com/YCmvRFrsw6;;974010721104166913;https://twitter.com/TrendsCO/status/974010721104166913;4.62433;-74.063644;40km
niutes;2018-03-13 21:53;0;Por q le dio oportunidades de surgir a los q se ganan un s.m. esclavitud fomentada por los grandes comerciantes y industriales q requieren mano de obra barata no por economia si no por avaricia por q en ves de gastarse una fortuna en reuniones no se invierte en los trabajadores;;973738804887674880;https://twitter.com/niutes/status/973738804887674880;4.62433;-74.063644;40km
IsmaelGaviria2;2018-03-13 15:03;0;Hay tiene a lo quieren a #petro @alvarouribevel en Bogota, Colombia https://www. instagram.com/p/BgRjkFyh8uc/;#petro;973635665312202752;https://twitter.com/IsmaelGaviria2/status/973635665312202752;4.62433;-74.063644;40km
ElSacroJaguar;2018-03-13 13:06;0;@sergio_fajardo @DeLaCalleHum le dicen "polarizado" a Petro ... Debe ser que el MOIR lo dirigen unas monjitas...;;973606276122005504;https://twitter.com/ElSacroJaguar/status/973606276122005504;4.62433;-74.063644;40km
MarthaCdeRamos;2018-03-13 12:08;0;A las empresas llega carta registraduria pidiendo listado total empleados para asignarlos. Lo otro dicho es FALSO.;;973591720947519488;https://twitter.com/MarthaCdeRamos/status/973591720947519488;4.62433;-74.063644;40km
TrendsBogota;2018-03-13 00:39;1;Gustavo Petro , @petroogustavo es ahora una tendencia en #Bogota https://www. trendsmap.com/r/CO_BOG_tcpfpa pic.twitter.com/Nxsaw1p44F;#Bogot;973418168768229377;https://twitter.com/TrendsBogota/status/973418168768229377;4.62433;-74.063644;40km
canon_manuel;2018-03-12 19:30;0;#LaNocheConTuEleccion Petro deberia escoger su vice en el centro izquierda y hacer un acuerdo programatico con los verdes y liberales.;#LaNocheConTuEleccion;973340508805369856;https://twitter.com/canon_manuel/status/973340508805369856;4.62433;-74.063644;40km
NesberoR;2018-03-12 19:06;0;asi como vamos el doctorisimo va a ir a dar quejas nuevamente a Washington por tener muchas garantias.;;973334428738097152;https://twitter.com/NesberoR/status/973334428738097152;4.62433;-74.063644;40km
jubiladoiss;2018-03-12 13:31;0;Como si por ser Petro ya los otros candidatos van a declinar sus aspiraciones presidenciales..!!!;;973250111101906944;https://twitter.com/jubiladoiss/status/973250111101906944;4.62433;-74.063644;40km
jubiladoiss;2018-03-12 13:28;0;Pero cual Petro fortalecido, si ahora esta chilinguiando coaliciones con Fajardo y De La Calle..!!!;;973249365711171584;https://twitter.com/jubiladoiss/status/973249365711171584;4.62433;-74.063644;40km
NesberoR;2018-03-12 06:06;0;" @ELTIEMPO : #LasMasLeidas 'Creemos que podemos ganar la Presidencia': Petro http:// ow.ly/UuXJ30iSSim " uy, ojala que no! Miren a Bogota.;#LasM;973138175945306112;https://twitter.com/NesberoR/status/973138175945306112;4.62433;-74.063644;40km
castelblanco03;2018-03-11 22:06;0;no botes tu voto #Bogota #colombia #elecciones #2018 #uribe #petro #duque #futuro #dios en... https://www. instagram.com/p/BgNKxIABNOY/;#Bogot #colombia #elecciones #2018 #uribe #petro #duque #futuro #dios;973017291557306369;https://twitter.com/castelblanco03/status/973017291557306369;4.62433;-74.063644;40km
SaulSanchezS;2018-03-11 18:50;0;Petro va despues de la ambulancia https:// twitter.com/Citytv/status/ 972965301313851392 ...;;972967953946824705;https://twitter.com/SaulSanchezS/status/972967953946824705;4.62433;-74.063644;40km
puesdejeme;2018-03-11 14:24;4;Cedritos las Margaritas ll se acaban los tarjetones para la consulta por el @CeDemocratico denunciemos @AlvaroUribeVel @SamuelHoyosM @MariaFdaCabal @PalomaValenciaL @CGurisattiNTN24 A que estamos jugando @Registraduria ahhh pero de @petrogustavo si hay Que falta de respeto!;;972901182833332225;https://twitter.com/puesdejeme/status/972901182833332225;4.62433;-74.063644;40km
finseya5;2018-03-11 14:07;17;#FraudeContraPetro En puesto Boulevard Bogota ocultan tarjeton de Petro .;#FraudeContraPetro;972896743993085952;https://twitter.com/finseya5/status/972896743993085952;4.62433;-74.063644;40km
mesaldarriaga;2018-03-11 11:54;0;Con mis dos amores camino a Usaquen a votar por Gustavo Petro y la... https://www. instagram.com/p/BgME3_XhM8RI K7y48O6ns9Rn1ExqpSHZPnlqg80/ ...;;972863325922054144;https://twitter.com/mesaldarriaga/status/972863325922054144;4.62433;-74.063644;40km
finseya5;2018-03-11 11:52;0;Llegan quejas y testimonios de fraude en todo http:// el.pa is, esten alertas. Compra de votos, negacion del tarjeton de Petro , carruseles, de todo!;;972862738744606721;https://twitter.com/finseya5/status/972862738744606721;4.62433;-74.063644;40km
finseya5;2018-03-10 16:24;1;https://www. elespectador.com/noticias/medio -ambiente/limites-de-las-reservas-forestales-del-pais-estaran-en-manos-de-las-car-preocupa-destino-de-la-van-articulo-743708 ... por la reserva van der hamen,los humedales y los cerros orientales, YO VOTO PETRO;;972584002258391040;https://twitter.com/finseya5/status/972584002258391040;4.62433;-74.063644;40km
ThCharlesAngels;2018-03-09 15:54;0;Pero tampoco es culpa de penalosa ni petro , ni antecesores!!! en... https://www. instagram.com/p/BgHdp9iBiK1X QjmLOFbQY0Earu4qxO4ThnN7aE0/ ...;;972214139706855425;https://twitter.com/ThCharlesAngels/status/972214139706855425;4.62433;-74.063644;40km
finseya5;2018-03-09 07:46;2;http:// m.eltiempo.com/opinion/column istas/enrique-santos-molano/que-propone-petro-elecciones-presidenciales-2018-191620 ... Peligro de fraude, el valor de la decencia y Petro una revolucion en marcha II. Muy buena columna.;;972091290967003136;https://twitter.com/finseya5/status/972091290967003136;4.62433;-74.063644;40km
pipasgeorge;2018-03-08 23:10;0;Petro vas divinamente aprendiendole a tu gran profesor Maduro,ponga a la Corte para que Investigue ,OyO Pinocho Petro;;971961403841036288;https://twitter.com/pipasgeorge/status/971961403841036288;4.62433;-74.063644;40km
pipasgeorge;2018-03-08 22:47;0;El payaso del Petro que confundio las piedras con las balas, se le olvido que es una Metralleta,y sus Titeres creyendo en el.;;971955594998382592;https://twitter.com/pipasgeorge/status/971955594998382592;4.62433;-74.063644;40km
mesaldarriaga;2018-03-08 18:15;0;#YoVotoPetro Petro Presidente A difundir!! http:// petro.com.co en Bogota,... https://www. instagram.com/p/BgFI_8vhrIlT rKKv5WNRNbJxE_W_7LSHlKPu5w0/ ...;#YoVotoPetro;971887235174944769;https://twitter.com/mesaldarriaga/status/971887235174944769;4.62433;-74.063644;40km
NesberoR;2018-03-08 16:15;0;mucha vitrina para el doctorisimo y su campana, semejante tipo para presidente de locombia? horror;;971857013264322560;https://twitter.com/NesberoR/status/971857013264322560;4.62433;-74.063644;40km
miguelballes_tv;2018-03-08 15:10;0;?Por que cree usted que los corruptos le temen a Petro ? #Repost ... https://www. instagram.com/p/BgEzDyDBI3B/;#Repost;971840671131738112;https://twitter.com/miguelballes_tv/status/971840671131738112;4.62433;-74.063644;40km
NesberoR;2018-03-08 14:43;0;" @lafm : Imelda Daza: Gustavo Petro puntea las encuestas, entonces lo tendremos en cuenta http:// bit.ly/2oYXZXy #LAFM " ahi se van a juntar;#LAFM;971833753462099971;https://twitter.com/NesberoR/status/971833753462099971;4.62433;-74.063644;40km
ecuellof;2018-03-08 11:58;0;Las FARC viejos aliados de PETRO . en Bogota, Colombia https://www. instagram.com/p/BgEd1kLgjHv/;;971792315697319936;https://twitter.com/ecuellof/status/971792315697319936;4.62433;-74.063644;40km
ecuellof;2018-03-08 11:56;0;Las FARC nuevos aliados politicos de PETRO . Despierta Colombia en Bogota, Colombia https://www. instagram.com/p/BgEdm55Adad/;;971791810455621632;https://twitter.com/ecuellof/status/971791810455621632;4.62433;-74.063644;40km
SaulSanchezS;2018-03-08 11:35;0;Igual les quede Petro ... https:// twitter.com/bbcmundo/statu s/971773064806649856 ...;;971786442803474433;https://twitter.com/SaulSanchezS/status/971786442803474433;4.62433;-74.063644;40km
finseya5;2018-03-08 11:22;0;@petrogustavo En Colombia Humana poder politico real, igualdad de oportunidades y 0 tolerancia a la violencia contra las mujeres.;;971783104275865601;https://twitter.com/finseya5/status/971783104275865601;4.62433;-74.063644;40km
juancelene;2018-03-07 22:29;0;El mejor merado senor maduro es la clase media que el petro lo maneje 60 millones de personas brinde esas facilidades;;971588746419277825;https://twitter.com/juancelene/status/971588746419277825;4.62433;-74.063644;40km
juancelene;2018-03-07 22:00;0;Por que la critomoneda petro dolar si es buena y el petro venezolano no si es del mismo respaldo yo aprecio a los gringos pero apoyo;;971581311063412737;https://twitter.com/juancelene/status/971581311063412737;4.62433;-74.063644;40km
juancelene;2018-03-07 21:51;0;O por lo menos el petro se valoriza inimaginable eso es una suerte por ahora apretar la corrupcion y brindar liberta de inversion;;971579218508251136;https://twitter.com/juancelene/status/971579218508251136;4.62433;-74.063644;40km
