989559733940965376	LA FM	lafm	Thu Apr 26 17:40:00 +0000 2018	NA	NA	NA	lagranencuesta c mo ser a una segunda vuelta entre iv n duque y germ n vargas lleras	
989557614693568519	Daniela Lopera	Danlopera1	Thu Apr 26 17:31:35 +0000 2018	NA	NA	NA	germ n vargas lleras se compromete a renovar el 10 de toda nuestra matriz energ tica es lo posible y es un gran	
989557585916366853	Cristina Durango	Crisdura1	Thu Apr 26 17:31:28 +0000 2018	NA	NA	NA	germ n vargas lleras se compromete a renovar el 10 de toda nuestra matriz energ tica es lo posible y es un gran	
989557167530405888	Daniela Lopera	Danlopera1	Thu Apr 26 17:29:48 +0000 2018	NA	NA	NA	la deuda hist rica que tiene el pa s con el r o magdalena es un tema que tiene que solucionar el pr ximo presidente	
989557157195665409	Cristina Durango	Crisdura1	Thu Apr 26 17:29:46 +0000 2018	NA	NA	NA	la deuda hist rica que tiene el pa s con el r o magdalena es un tema que tiene que solucionar el pr ximo presidente	
989556341902635009	Rio Negrete	riokro	Thu Apr 26 17:26:31 +0000 2018	NA	NA	NA	germ n vargas lleras se ha comprometido a quitarles las funciones electorales a las altas cortes para que se dediq	
989556250252898307	Rocio Velandia	RocioVelandia01	Thu Apr 26 17:26:09 +0000 2018	NA	NA	NA	germ n vargas lleras se ha comprometido a quitarles las funciones electorales a las altas cortes para que se dediq	
989555101353246721	Héctor Elpidio	hectorelpidio	Thu Apr 26 17:21:35 +0000 2018	NA	NA	NA	germ n vargas lleras y su relaci n con las encuestas vargas	
989554535889821698	Daniela Lopera	Danlopera1	Thu Apr 26 17:19:21 +0000 2018	NA	NA	NA	germ n vargas lleras le dar m s autonom a al caribe y apoyar el proceso de integraci n por el cual la regi n vien	
989554505602748416	Cristina Durango	Crisdura1	Thu Apr 26 17:19:13 +0000 2018	NA	NA	NA	germ n vargas lleras le dar m s autonom a al caribe y apoyar el proceso de integraci n por el cual la regi n vien	
989554204116168704	Daniela Lopera	Danlopera1	Thu Apr 26 17:18:01 +0000 2018	NA	NA	NA	necesitamos un presidente que conozco la regi n caribe y sus problem ticas necesitamos alguien que sea capaz de so	
989554187729100800	Cristina Durango	Crisdura1	Thu Apr 26 17:17:58 +0000 2018	NA	NA	NA	necesitamos un presidente que conozco la regi n caribe y sus problem ticas necesitamos alguien que sea capaz de so	
989554090278563840	Rocio Velandia	RocioVelandia01	Thu Apr 26 17:17:34 +0000 2018	NA	NA	NA	germ n vargas lleras le dar m s autonom a al caribe y apoyar el proceso de integraci n por el cual la regi n vien	
989553634949124096	Daniela Lopera	Danlopera1	Thu Apr 26 17:15:46 +0000 2018	NA	NA	NA	germ n vargas lleras celebra la desmovilizaci n de las farc pero con l las disidencias de este grupo armado no va	
989553590313332738	Cristina Durango	Crisdura1	Thu Apr 26 17:15:35 +0000 2018	NA	NA	NA	germ n vargas lleras celebra la desmovilizaci n de las farc pero con l las disidencias de este grupo armado no va	
989552200396562432	consultorsalud	consultor_salud	Thu Apr 26 17:10:04 +0000 2018	NA	NA	NA	en el debate organizado por la andi la w radio y el diario el tiempo los candidatos a la presidencia de colombia	
989549126173028353	Rio Negrete	riokro	Thu Apr 26 16:57:51 +0000 2018	NA	NA	NA	germ n vargas lleras le dar m s autonom a al caribe y apoyar el proceso de integraci n por el cual la regi n vien	
989548980655796225	Rio Negrete	riokro	Thu Apr 26 16:57:16 +0000 2018	NA	NA	NA	germ n vargas lleras celebra la desmovilizaci n de las farc pero con l las disidencias de este grupo armado no va	
989532357668556800	Diego Laserna	LasernaBogota	Thu Apr 26 15:51:13 +0000 2018	NA	NA	NA	en medio de todo que german vargas lleras con toda la plata de los cacaos la maquinaria pol tica y el fiscal en e	
989482113845088257	Javier Martinez	javmartini	Thu Apr 26 12:31:34 +0000 2018	NA	NA	NA	hoy el candidato german vargas lleras es m s ret rico que nunca evidentemente est cansado lo lamento	
989481114036310016	Tatiana	Tatiana59806467	Thu Apr 26 12:27:35 +0000 2018	NA	NA	NA	vargas doctor german vargas lleras no cree usted q ese servicios cerca al hogar no es mas	
989472963220131841	Carlos Carrillo	CarlosCarrilloA	Thu Apr 26 11:55:12 +0000 2018	NA	NA	NA	si vargas lleras tuviera un compromiso real con la infraestructura del pa s no habr a torpedeado el metro d	
989373506612858880	LA FM	lafm	Thu Apr 26 05:20:00 +0000 2018	NA	NA	NA	lagranencuesta c mo ser a una segunda vuelta entre gustavo petro y germ n vargas lleras	
989355664446230529	PEDRO RAUL MEDINA C.	PRMEDINAC	Thu Apr 26 04:09:06 +0000 2018	NA	NA	NA	vargas estoy en desacuerdo con la adopci n por parte de parejas gay germ n vargas lleras	
989344114671054848	Héctor Iván Ochoa	hoir11	Thu Apr 26 03:23:12 +0000 2018	NA	NA	NA	me ha gustado un v deo de 25 04 2018 germ n vargas lleras en semana en vivo a	
989307612234731520	Gerardo Buitrago	Gabto3	Thu Apr 26 00:58:09 +0000 2018	NA	NA	NA	germ n vargas lleras responder a los colombianos en semana en vivo v a	
989289323186049026	Orgs Colombia	OrgsColombia	Wed Apr 25 23:45:29 +0000 2018	NA	NA	NA	comunicado a la opini n publica se analiz los compromisos y alianzas expresado por el se or samuel tumbo al candi	
989268801970728960	RCN Radio	rcnradio	Wed Apr 25 22:23:56 +0000 2018	NA	NA	NA	el nico candidato al que gustavo petro podr a vencer en segunda vuelta es germ n vargas lleras lagranencuesta	
989263170467520512	Veeduría al Congreso	CongresoCol	Wed Apr 25 22:01:34 +0000 2018	NA	NA	NA	miembros del partido en libertad para irse con o vargas lleras el siguiente	
986800027812139008	Andrés Felipe González Berrio	AGonzalezBerrio	Thu Apr 19 02:53:55 +0000 2018	Point	4.6650765	-74.1129869	germ n vargas lleras se podra aliar con la u cambio radical partido conservador y todas las maquinarias del pa	
983554927548125184	Julián Salamanca Latorre	Jdsalamancal	Tue Apr 10 03:59:02 +0000 2018	Point	4.5803871	-74.1344527	qu gastritis ver a germ n vargas lleras antes de irme a dormir yo por qu me hago esto elpaisdelosjovenes	
990736492573192192	MenBlack	MenNigth	Sun Apr 29 23:36:01 +0000 2018	NA	NA	NA	y lo berraco es que se viene contra petro una campa a de	
990729444284346369	Designated Driver*	Zurdo_Siniestro	Sun Apr 29 23:08:01 +0000 2018	NA	NA	NA	al verse cagados del miedo porque no ven como darle de baja se reune en el tequendama un grupito de lava perros de	
990727997903818752	fer :3	_MeraLoK_	Sun Apr 29 23:02:16 +0000 2018	NA	NA	NA	las v as 4g de vargas lleras	
990723943035228160	Adolfo Beck	ElGranDebate	Sun Apr 29 22:46:09 +0000 2018	NA	NA	NA	en valledupar silvestre dangond con duque y jorge o ate con vargas lleras	
990720526720163841	✨Adriana Martinez✨	adri_919	Sun Apr 29 22:32:34 +0000 2018	NA	NA	NA	pero nunca en la vida por vargas lleras o duque eso ni por el putas	
990717042620846087	@HUGO ALGARRA	hugoalgarra	Sun Apr 29 22:18:44 +0000 2018	NA	NA	NA	el candidato vargas lleras coloca en duda la veracidad sobre la informaci n de vicky d vila en su nue	
990704815813611520	@HUGO ALGARRA	hugoalgarra	Sun Apr 29 21:30:09 +0000 2018	NA	NA	NA	c fajardo ustedes se ponen bravos porque fajardo de vez en cuando	
990704606438199297	lucotron	lucotron1	Sun Apr 29 21:29:19 +0000 2018	NA	NA	NA	lastima que pinzon se fue con vargas lleras debio irse con duque	
990704376388997125	Jhon S. Ramirez A.	JHOSTIAN	Sun Apr 29 21:28:24 +0000 2018	NA	NA	NA	los que no pueden dejar que gane petro por que se les da a el negocio como le pensaran cobrar el apoyo a vargas lle	
990700775339945984	Martha Elena Rangel	merv59	Sun Apr 29 21:14:05 +0000 2018	NA	NA	NA	vargas lleras le hablan	
990700298279772163	Carlos F. Santander	cfsantander	Sun Apr 29 21:12:12 +0000 2018	NA	NA	NA	soy vargas lleras	
990700240104775681	Wendy🌼	WendyHenao06	Sun Apr 29 21:11:58 +0000 2018	NA	NA	NA	necesito un seguidor o una persona que este de parte de vargas lleras vargaslleras	
990696732525723650	Ita María	itamaria83	Sun Apr 29 20:58:01 +0000 2018	NA	NA	NA	no pero hizo un llamado a la ciudadan a a defender los acuerdos y se fue contra duque y vargas lleras de frente	
990696722102996995	Octavio Quintero	oquinteroefe	Sun Apr 29 20:57:59 +0000 2018	NA	NA	NA	les qued gustando el debate del 2014 entre los dos candidatos de la derecha santos zuluaga y lo dicen p blicamen	
990695925298364416	Roberto Cagua	roberto_cagua	Sun Apr 29 20:54:49 +0000 2018	NA	NA	NA	se or yo lo respeto me parece un hombre inteligente y prudente pero sinceramente creo que se equivo	
990695903894884354	Rincon	RinconDavid_	Sun Apr 29 20:54:44 +0000 2018	NA	NA	NA	menos mal vargas lleras no es thanos si no solo hubiera necesita 4 gemas del infinito para su guante	
990695346455154690	Germán Vargas Lleras	German_Vargas	Sun Apr 29 20:52:31 +0000 2018	NA	NA	NA	feliz de llegar a valledupar a compartir un momento la alegr a del festivaldelaleyendavallenata	
990689061974265858	Jose Martínez	josemap1	Sun Apr 29 20:27:33 +0000 2018	NA	NA	NA	separ ndose del gobierno como debi haber hecho cuando vargas lleras tom esa bandera se demor quien sabe si s	
990688752124284929	NataliaR.	natyRojaso	Sun Apr 29 20:26:19 +0000 2018	NA	NA	NA	medaculilloque tengamos que elegir entre el sida o la gonorrea duque vargas lleras o viceversa para la presidencia	
990683447692812289	gonzalo	BernalvGonzalo	Sun Apr 29 20:05:14 +0000 2018	NA	NA	NA	se puede adherir a alguien creo que no pero recomendara a sus votantes para que se adhieran al can	
990681358946242560	Sandra Milena 5	samiso35	Sun Apr 29 19:56:56 +0000 2018	NA	NA	NA	eduardonarvaez duque o vargas lleras es probable la maquinaria arranco con todo sino pregunten c	
